,id,origin,entity,category
30,1115767140,Laborum,java,programming language
31,1115767140,Laborum,.net,programming language
43,1115767140,Laborum,java ee sql,programming language
44,1115767140,Laborum,javascript,programming language
45,1115767140,Laborum,typescript,programming language
66,1115767134,Laborum,java .net,programming language
128,1115766872,Laborum,.net,programming language
129,1115766872,Laborum,c#,programming language
131,1115766872,Laborum,javascript,programming language
132,1115766872,Laborum,node,programming language
133,1115766872,Laborum,dynamodb,programming language
134,1115766872,Laborum,asp.net,programming language
159,1115766822,Laborum,java,programming language
174,1115764973,Laborum,abap,programming language
234,1115764467,Laborum,html,programming language
242,1115764467,Laborum,react,programming language
243,1115764467,Laborum,javascript,programming language
243,1115764467,Laborum,typescript,programming language
269,1115764414,Laborum,python,programming language
270,1115764414,Laborum,bash,programming language
363,1115763984,Laborum,.net,programming language
364,1115763984,Laborum,angular.js,programming language
375,1115763880,Laborum,.net,programming language
376,1115763880,Laborum,c#,programming language
379,1115763880,Laborum,javascript,programming language
416,1115763224,Laborum,javascript,programming language
417,1115763224,Laborum,angular.js,programming language
418,1115763224,Laborum,react,programming language
419,1115763224,Laborum,typescript,programming language
442,1115762209,Laborum,java,programming language
443,1115762209,Laborum,python,programming language
459,1115762209,Laborum,java,programming language
462,1115762209,Laborum,angular.js,programming language
500,1115762140,Laborum,batch,programming language
501,1115762140,Laborum,vb,programming language
502,1115762140,Laborum,python,programming language
565,1115761641,Laborum,pyspark,programming language
581,1115761641,Laborum,python,programming language
594,1115761641,Laborum,.net,programming language
597,1115761641,Laborum,asp.net,programming language
598,1115761641,Laborum,javascript,programming language
618,1115761613,Laborum,sap,programming language
640,1115761613,Laborum,sap,programming language
650,1115761613,Laborum,java,programming language
673,1115761613,Laborum,sap,programming language
695,1115761613,Laborum,sap,programming language
705,1115761613,Laborum,java,programming language
728,1115761613,Laborum,sap,programming language
750,1115761613,Laborum,sap,programming language
760,1115761613,Laborum,java,programming language
783,1115761613,Laborum,sap,programming language
805,1115761613,Laborum,sap,programming language
815,1115761613,Laborum,java,programming language
838,1115761613,Laborum,sap,programming language
860,1115761613,Laborum,sap,programming language
870,1115761613,Laborum,java,programming language
893,1115761613,Laborum,sap,programming language
915,1115761613,Laborum,sap,programming language
925,1115761613,Laborum,java,programming language
948,1115761613,Laborum,sap,programming language
970,1115761613,Laborum,sap,programming language
980,1115761613,Laborum,java,programming language
1003,1115761613,Laborum,sap,programming language
1025,1115761613,Laborum,sap,programming language
1035,1115761613,Laborum,java,programming language
1045,1115760386,Laborum,java,programming language
1068,1115759837,Laborum,selenium,programming language
1069,1115759837,Laborum,appium,programming language
1070,1115759837,Laborum,perfecto,programming language
1076,1115759837,Laborum,git,programming language
1086,1115759837,Laborum,selenium,programming language
1087,1115759837,Laborum,appium,programming language
1088,1115759837,Laborum,perfecto,programming language
1094,1115759837,Laborum,git,programming language
1096,1115759837,Laborum,java,programming language
1101,1115759837,Laborum,jsp,programming language
1103,1115759837,Laborum,javascript,programming language
1104,1115759837,Laborum,html,programming language
1105,1115759837,Laborum,xml,programming language
1117,1115759837,Laborum,selenium,programming language
1118,1115759837,Laborum,appium,programming language
1119,1115759837,Laborum,perfecto,programming language
1125,1115759837,Laborum,git,programming language
1135,1115759837,Laborum,selenium,programming language
1136,1115759837,Laborum,appium,programming language
1137,1115759837,Laborum,perfecto,programming language
1143,1115759837,Laborum,git,programming language
1145,1115759837,Laborum,java,programming language
1150,1115759837,Laborum,jsp,programming language
1152,1115759837,Laborum,javascript,programming language
1153,1115759837,Laborum,html,programming language
1154,1115759837,Laborum,xml,programming language
1166,1115759837,Laborum,selenium,programming language
1167,1115759837,Laborum,appium,programming language
1168,1115759837,Laborum,perfecto,programming language
1174,1115759837,Laborum,git,programming language
1184,1115759837,Laborum,selenium,programming language
1185,1115759837,Laborum,appium,programming language
1186,1115759837,Laborum,perfecto,programming language
1192,1115759837,Laborum,git,programming language
1194,1115759837,Laborum,java,programming language
1199,1115759837,Laborum,jsp,programming language
1201,1115759837,Laborum,javascript,programming language
1202,1115759837,Laborum,html,programming language
1203,1115759837,Laborum,xml,programming language
1215,1115759837,Laborum,selenium,programming language
1216,1115759837,Laborum,appium,programming language
1217,1115759837,Laborum,perfecto,programming language
1223,1115759837,Laborum,git,programming language
1233,1115759837,Laborum,selenium,programming language
1234,1115759837,Laborum,appium,programming language
1235,1115759837,Laborum,perfecto,programming language
1241,1115759837,Laborum,git,programming language
1243,1115759837,Laborum,java,programming language
1248,1115759837,Laborum,jsp,programming language
1250,1115759837,Laborum,javascript,programming language
